Canción,Intérprete(s),Fecha,Semanas en el top,Idioma,Tipo intérprete (H/M/grupo/colaboración),Estilo
7 Years,Lukas Graham,9/04/2016,1,en,Hombre,pop
Catch & Release,Matt Simons con Deepend,16/04/2016,1,en,Colaboración,pop
Stressed Out,Twenty One Pilots,23/04/2016,1,en,Grupo,hip hop
Cheap Thrills,Sia con Sean Paul,30/04/2016,2,en,Colaboración,dance
Duele el corazón,Enrique Iglesias con Wisin,14/05/2016,2,es,Colaboración,Reggaeton
No,Meghan Trainor,28/05/2016,1,en,Mujer,R&B
I Took a Pill in Ibiza,Mike Posner con SeeB,4/06/2016,1,en,Colaboración,House
One Dance,"Drake, Kyla y Wizkid",11/06/2016,2,en,Colaboración,dance
Can't Stop the Feeling!,Justin Timberlake,25/06/2016,1,en,Hombre,Pop
One Dance,"Drake, Kyla y Wizkid",2/07/2016,1,en,Colaboración,dance
Can't Stop the Feeling!,Justin Timberlake,9/07/2016,0,en,Hombre,Pop
Can't Stop the Feeling!,Justin Timberlake,16/07/2016,,en,Hombre,Pop
Ain't Your Mama,Jennifer Lopez,23/07/2016,,en,Mujer,dance
Don't Let Me Down,The Chainsmokers con Daya,30/07/2016,,en,Colaboración,dance
Cómo te atreves,Morat,6/08/2016,,es,Grupo,folk pop
This Girl,Kungs y Cookin’ on 3 Burners,13/08/2016,,en,Grupo,funk
This Girl,Kungs y Cookin’ on 3 Burners,20/08/2016,,en,Grupo,funk
La bicicleta,Carlos Vives con Shakira,27/08/2016,,es,Colaboración,Reggaeton
La bicicleta,Carlos Vives con Shakira,3/09/2016,,es,Colaboración,Reggaeton
Cold Water,Major Lazer con Justin Bieber y MØ,10/09/2016,,en,Colaboración,dance
We Don't Talk Anymore,Charlie Puth con Selena Gomez,17/09/2016,,en,Colaboración,house
Closer,The Chainsmokers con Halsey,24/09/2016,,en,Colaboración,dance
Ride,Twenty One Pilots,1/10/2016,,en,Grupo,hip hop
Let Me Love You,DJ Snake con Justin Bieber,8/10/2016,,en,Colaboración,dance
Borró cassette,Maluma,15/10/2016,,es,Hombre,Reggaeton
24K Magic,Bruno Mars,22/10/2016,,en,Hombre,        R&B
Sincericidio,Leiva,29/10/2016,,es,Hombre,Pop
Safari,"J Balvin con Pharrell Williams, BIA y Sky",5/11/2016,,es,Colaboración,Reggaeton
The Greatest,Sia con Kendrick Lamar,12/11/2016,,en,Colaboración,dance
Heathens,Twenty One Pilots,19/11/2016,,en,Grupo,hip hop
Safari,"J Balvin con Pharrell Williams, BIA y Sky",26/11/2016,,es,Colaboración,Reggaeton
Lost On You,LP,3/12/2016,,en,Hombre,Indie
Starboy,The Weeknd con Daft Punk,10/12/2016,,en,Colaboración,house
Starboy,The Weeknd con Daft Punk,17/12/2016,,en,Colaboración,house
Chantaje,Shakira con Maluma,24/12/2016,,es,Colaboración,Reggaeton
Chantaje,Shakira con Maluma,31/12/2016,,es,Colaboración,Reggaeton
Rockabye,Clean Bandit ft. Sean Paul y Anne-Marie,7/01/2017,,en,Colaboración,dance
Rockabye,Clean Bandit ft. Sean Paul y Anne-Marie,14/01/2017,,en,Colaboración,dance
Human,Rag'n'Bone Man,21/01/2017,,en,Hombre,R&B
Shape of You,Ed Sheeran,28/01/2017,,en,Hombre,Folk
Shape of You,Ed Sheeran,4/02/2017,,en,Hombre,Folk
Despacito,Luis Fonsi ft. Daddy Yankee,11/02/2017,,es,Colaboración,Reggaeton
Despacito,Luis Fonsi ft. Daddy Yankee,18/02/2017,,es,Colaboración,Reggaeton
La lluvia en los zapatos,Leiva,25/02/2017,,es,Hombre,Pop
Sexual,Neiked ft. Dyo,4/03/2017,,en,Colaboración,pop
I Feel It Coming,The Weeknd ft. Daft Punk,11/03/2017,,en,Colaboración,house
Shape of You,Ed Sheeran,18/03/2017,,en,Hombre,Folk
Shape of You,Ed Sheeran,25/03/2017,,en,Hombre,Folk
Chained to the Rhythm,Katy Perry ft. Skip Marley,1/04/2017,,en,Colaboración,pop
Súbeme la radio,Enrique Iglesias ft. Descemer Bueno y Zion & Lennox,8/04/2017,,es,Colaboración,Reggaeton
Something Just Like This,The Chainsmokers ft. Coldplay,15/04/2017,,en,Colaboración,Pop-rock
Something Just Like This,The Chainsmokers ft. Coldplay,22/04/2017,,en,Colaboración,Pop-rock
It Ain't Me,Kygo ft. Selena Gomez,29/04/2017,,en,Colaboración,house
Despacito (remix),Luis Fonsi ft. Daddy Yankee y Justin Bieber,6/05/2017,,es,Colaboración,Reggaeton
You Don't Know Me,Jax Jones ft. Raye,13/05/2017,,en,Colaboración,dance
Way Down We Go,Kaleo,20/05/2017,,en,Hombre,Indie
Me enamoré,Shakira,27/05/2017,,es,Mujer,Pop latino
Hey Ma,J Balvin & Pitbull ft. Camila Cabello,3/06/2017,,en,Colaboración,Rreggaeton
Felices los 4,Maluma,10/06/2017,,es,Hombre,Reggaeton
Swalla,Jason Derulo ft. Nicki Minaj y Ty Dolla $ign,17/06/2017,,en,Colaboración,R&B
Sign of the Times,Harry Styles,24/06/2017,,en,Hombre,Pop
Issues,Julia Michaels,1/07/2017,,en,Mujer,electro
Malibu,Miley Cyrus,8/07/2017,,en,Mujer,Teen pop
